month,sales_total,sales_total_lag_1,sales_total_lag_2,sales_total_lag_3,sales_total_lag_6,sales_total_lag_12,sales_total_lag_24,sales_total_roll3,sales_total_roll12,sales_total_roll3_std,sales_COM_lag_1,sales_COM_lag_2,sales_COM_lag_3,sales_COM_lag_6,sales_COM_lag_12,sales_COM_lag_24,sales_COM_roll3,sales_COM_roll12,sales_COM_roll3_std,sales_IND_lag_1,sales_IND_lag_2,sales_IND_lag_3,sales_IND_lag_6,sales_IND_lag_12,sales_IND_lag_24,sales_IND_roll3,sales_IND_roll12,sales_IND_roll3_std,sales_RES_lag_1,sales_RES_lag_2,sales_RES_lag_3,sales_RES_lag_6,sales_RES_lag_12,sales_RES_lag_24,sales_RES_roll3,sales_RES_roll12,sales_RES_roll3_std,month_num,year,quarter,temp_avg_f,heating_degree_days,cooling_degree_days
2003-01,304262.59845,286462.39615,263033.58918,284177.96223,337284.67683,290967.48001,310816.0688,277891.31585333333,288788.83425250003,12917.766486831692,100619.9166476875,92390.548199475,99817.5092332875,118471.2427365375,102202.3273535125,109034.27693504,97609.32469348334,101437.07803119063,4537.3654784998525,79006.32885816999,72544.663895844,78376.281983034,93023.113869714,80248.830986758,86344.70391264,76642.42491234934,79647.9604868395,3562.719997068274,106836.1506441425,98098.377084681,105984.1710136785,125790.32022374852,108516.3216697295,115437.08795232,103639.56624750067,107703.79573446988,4817.681011263987,1,2003,1,32.81,32.19,0.0
2003-02,282239.57466,304262.59845,286462.39615,263033.58918,338114.51829,263728.26311,272334.73804,284586.19459333335,289896.76078916667,20678.440476915912,107009.155874865,100619.9166476875,92390.548199475,118762.7245493625,92634.5524173875,95535.026104432,100006.54024067584,101837.64707463665,7328.580732601117,83307.09945560999,79006.32885816999,72544.663895844,93251.984144382,72736.254965738,75654.590227512,78286.03073654132,79902.81619257716,5417.252701558699,113946.343119525,106836.1506441425,98098.377084681,126099.8095962555,98357.4557268745,101145.12170805602,106293.62361611617,108156.29752195283,7937.9001343237,2,2003,1,32.79,32.21,0.0
2003-03,274473.4193,282239.57466,304262.59845,286462.39615,310497.88323,267459.80047,269298.40142,290988.1897533333,291439.370085,11688.263344855606,99263.658407922,107009.155874865,100619.9166476875,109062.38148453749,93945.25491508751,94469.879218136,102297.57697682483,102390.07257384788,4136.313683411405,77277.19554190799,83307.09945560999,79006.32885816999,85635.31619483398,73765.412969626,74811.095914476,79863.54128522932,80281.227907258,3105.003246527794,105698.72071017,113946.343119525,106836.1506441425,115800.18555062848,99749.13258528653,100017.426287388,108827.07149127917,108768.06960389412,4469.747556238025,3,2003,1,43.29,21.71,0.0
2003-04,256709.98509,274473.4193,282239.57466,304262.59845,284177.96223,257946.37508,254390.93545,286991.8641366667,292023.83832083334,15452.734064242983,96532.30156781,99263.658407922,107009.155874865,99817.5092332875,90603.66424685,89240.34015586,100935.03861686568,102605.65979490808,5434.726570394428,75150.82220434,77277.19554190799,83307.09945560999,78376.281983034,71141.610247064,70669.80186800999,78578.37240061932,80396.6786768175,4230.958586789801,102790.29552785,105698.72071017,113946.343119525,105984.1710136785,96201.100586086,94480.79342613,107478.45311918168,109021.49984910774,5787.048907059094,4,2003,2,51.89,13.11,0.0
2003-05,268788.0908,256709.98509,274473.4193,282239.57466,263033.58918,269323.29396,264490.49166,271140.9930166667,291920.80582166667,13086.97003142984,90284.901756153,96532.30156781,99263.658407922,92390.548199475,94599.80700345,92783.264474328,95360.28724396166,102579.09625401667,4602.687360054095,70287.193917642,75150.82220434,77277.19554190799,72544.663895844,74279.36447416799,73475.45858314799,74238.40388796333,80325.47731603232,3583.212394605591,96137.889416205,102790.29552785,105698.72071017,98098.377084681,100444.122482382,98231.768602524,101542.30188474168,109016.23225161766,4901.07027677058,5,2003,2,60.96,4.039999999999999,0.0
2003-06,290449.88234,268788.0908,256709.98509,274473.4193,286462.39615,296469.77249,290008.13859,266657.16506333335,291876.2055583334,9071.412905641193,94532.77153436,90284.901756153,96532.30156781,100619.9166476875,104135.0075871125,101734.855017372,93783.32495277433,102573.50996492582,3190.4159189143143,73594.17926104,70287.193917642,75150.82220434,79006.32885816999,81766.363252742,80564.26090030199,73010.73179434067,80268.37854827166,2483.7528535647016,100661.1400046,96137.889416205,102790.29552785,106836.1506441425,110568.4016501455,107709.022672326,99863.10831621832,109034.31704513585,3397.2441331627606,6,2003,2,68.02,0.0,3.019999999999996
2003-07,334208.69307,290449.88234,268788.0908,256709.98509,304262.59845,337284.67683,315798.05444,271982.6527433333,291374.5480458333,17095.294268232883,102151.223618978,94532.77153436,90284.901756153,107009.155874865,118471.2427365375,110781.957497552,95656.29896983033,102408.19463424796,6012.4149941376645,79525.177784692,73594.17926104,70287.193917642,83307.09945560999,93023.113869714,87728.69952343199,74468.85032112466,80081.61309260083,4680.691570642241,108773.48093633,100661.1400046,96137.889416205,113946.343119525,125790.32022374852,117287.397419016,101857.50345237834,108884.74031898454,6402.187703453291,7,2003,3,75.43,0.0,10.430000000000009
2003-08,341819.27853,334208.69307,290449.88234,268788.0908,282239.57466,338114.51829,332192.65242,297815.55540333333,291118.21606583335,33326.47078673802,117541.197352719,102151.223618978,94532.77153436,99263.658407922,118762.7245493625,116533.182468936,104741.73083535233,102330.69085226307,11720.919775695855,91506.340162566,79525.177784692,73594.17926104,77277.19554190799,93251.984144382,92283.118842276,81541.89906943266,79955.21528367183,9124.787701408914,125161.155554715,108773.48093633,100661.1400046,105698.72071017,126099.8095962555,123376.351108788,111531.92549854836,108832.30992989842,12480.763309633443,8,2003,3,74.62,0.0,9.620000000000005
2003-09,306589.90447,341819.27853,334208.69307,290449.88234,274473.4193,310497.88323,295925.25273,322159.28464666667,291426.9460858333,27723.544123100495,120217.840259001,117541.197352719,102151.223618978,96532.30156781,109062.38148453749,103810.578657684,113303.42041023266,102451.95049473296,9750.370468094543,93590.118461514,91506.340162566,79525.177784692,75150.82220434,85635.31619483398,82208.035208394,88207.21213625734,79983.39314343284,7590.7063809049505,128011.319809485,125161.155554715,108773.48093633,102790.29552785,115800.18555062848,109906.638863922,120648.65210017667,108991.60244766755,10382.467274101198,9,2003,3,64.94,0.0600000000000022,0.0
2003-10,277380.21575,306589.90447,341819.27853,334208.69307,256709.98509,284177.96223,267558.79557,327539.2920233333,291101.2811891667,18537.472371005417,107827.669402099,120217.840259001,117541.197352719,90284.901756153,99817.5092332875,93859.625485956,115195.56900460632,102349.05782119643,6519.62903288275,83944.315843886,93590.118461514,91506.340162566,70287.193917642,78376.281983034,74327.833409346,89680.25815598866,79842.4764475205,5075.55993518134,114817.919224015,128011.319809485,125161.155554715,96137.889416205,105984.1710136785,99371.336674698,122663.46486273834,108909.74692044976,6942.283402941624,10,2003,4,56.53,8.469999999999999,0.0
